Case ID,Activity,Timestamp,Resource,Loan type,Amount,Channel,Region,Outcome
L0017,Assess credit,2025-05-23 12:41:00,Farah,Auto,29400.00,Online,West,Approved
L0017,Approve application,2025-05-24 10:28:00,Eli,Auto,29400.00,Online,West,Approved
L0017,Send offer,2025-05-24 12:58:00,Dana,Auto,29400.00,Online,West,Approved
L0017,Sign contract,2025-05-28 23:10:00,Chen,Auto,29400.00,Online,West,Approved
L0018,Submit application,2025-05-02 08:00:00,Ana,Personal,3600.00,Branch,West,Approved
L0018,Check completeness,2025-05-02 19:29:00,Ana,Personal,3600.00,Branch,West,Approved
L0018,Assess credit,2025-05-03 02:29:00,Eli,Personal,3600.00,Branch,West,Approved
L0018,Approve application,2025-05-03 16:25:00,Eli,Personal,3600.00,Branch,West,Approved
L0018,Send offer,2025-05-03 20:20:00,Ben,Personal,3600.00,Branch,West,Approved
L0018,Sign contract,2025-05-08 18:21:00,Ben,Personal,3600.00,Branch,West,Approved
L0019,Submit application,2025-06-10 15:00:00,Chen,Auto,16800.00,Branch,North,Approved
L0019,Check completeness,2025-06-11 03:05:00,Ben,Auto,16800.00,Branch,North,Approved
L0019,Assess credit,2025-06-11 19:41:00,Farah,Auto,16800.00,Branch,North,Approved
L0019,Approve application,2025-06-12 14:20:00,Eli,Auto,16800.00,Branch,North,Approved
L0019,Send offer,2025-06-12 20:32:00,Ben,Auto,16800.00,Branch,North,Approved
L0019,Sign contract,2025-06-18 14:35:00,Dana,Auto,16800.00,Branch,North,Approved
L0020,Submit application,2025-04-15 09:00:00,Portal,Auto,24100.00,Online,West,Approved
L0020,Check completeness,2025-04-16 06:53:00,Dana,Auto,24100.00,Online,West,Approved
L0020,Assess credit,2025-04-16 16:30:00,Eli,Auto,24100.00,Online,West,Approved
L0020,Approve application,2025-04-17 14:53:00,Eli,Auto,24100.00,Online,West,Approved
L0020,Send offer,2025-04-17 22:06:00,Dana,Auto,24100.00,Online,West,Approved
L0020,Sign contract,2025-04-19 18:48:00,Chen,Auto,24100.00,Online,West,Approved
L0021,Submit application,2025-03-08 14:00:00,Portal,Personal,9100.00,Online,North,Approved
L0021,Check completeness,2025-03-09 04:23:00,Chen,Personal,9100.00,Online,North,Approved
L0021,Assess credit,2025-03-11 03:57:00,Farah,Personal,9100.00,Online,North,Approved
L0021,Approve application,2025-03-11 18:47:00,Farah,Personal,9100.00,Online,North,Approved
L0021,Send offer,2025-03-12 01:51:00,Ana,Personal,9100.00,Online,North,Approved
L0021,Sign contract,2025-03-18 03:25:00,Dana,Personal,9100.00,Online,North,Approved
L0022,Submit application,2025-02-18 08:00:00,Portal,Personal,4600.00,Online,East,Approved
L0022,Check completeness,2025-02-18 22:31:00,Ana,Personal,4600.00,Online,East,Approved
L0022,Assess credit,2025-02-20 00:19:00,Eli,Personal,4600.00,Online,East,Approved
L0022,Approve application,2025-02-20 16:03:00,Eli,Personal,4600.00,Online,East,Approved
L0022,Send offer,2025-02-20 21:19:00,Ana,Personal,4600.00,Online,East,Approved
L0022,Sign contract,2025-02-22 01:20:00,Ana,Personal,4600.00,Online,East,Approved
L0023,Submit application,2025-01-12 14:00:00,Portal,Business,33400.00,Online,East,Approved
L0023,Check completeness,2025-01-12 19:23:00,Ben,Business,33400.00,Online,East,Approved
L0023,Assess credit,2025-01-14 06:19:00,Eli,Business,33400.00,Online,East,Approved
L0023,Approve application,2025-01-14 14:30:00,Farah,Business,33400.00,Online,East,Approved
L0023,Send offer,2025-01-14 19:16:00,Dana,Business,33400.00,Online,East,Approved
L0023,Sign contract,2025-01-19 02:39:00,Dana,Business,33400.00,Online,East,Approved
L0024,Submit application,2025-02-27 08:00:00,Chen,Personal,3700.00,Broker,East,Rejected
L0024,Check completeness,2025-02-27 15:17:00,Dana,Personal,3700.00,Broker,East,Rejected
L0024,Reject application,2025-02-27 23:11:00,Dana,Personal,3700.00,Broker,East,Rejected
L0025,Submit application,2025-05-04 09:00:00,Portal,Personal,11300.00,Online,East,Approved
L0025,Check completeness,2025-05-04 19:46:00,Chen,Personal,11300.00,Online,East,Approved
L0025,Assess credit,2025-05-05 05:03:00,Eli,Personal,11300.00,Online,East,Approved
L0025,Approve application,2025-05-05 20:00:00,Eli,Personal,11300.00,Online,East,Approved
L0025,Send offer,2025-05-06 02:12:00,Chen,Personal,11300.00,Online,East,Approved
L0025,Sign contract,2025-05-10 09:57:00,Ben,Personal,11300.00,Online,East,Approved
L0026,Submit application,2025-06-06 13:00:00,Portal,Mortgage,98400.00,Online,East,Approved
L0026,Check completeness,2025-06-07 09:23:00,Ana,Mortgage,98400.00,Online,East,Approved
L0026,Assess credit,2025-06-08 20:35:00,Eli,Mortgage,98400.00,Online,East,Approved
L0026,Manual review,2025-06-11 06:20:00,Gil,Mortgage,98400.00,Online,East,Approved
L0026,Approve application,2025-06-11 12:06:00,Farah,Mortgage,98400.00,Online,East,Approved
L0026,Send offer,2025-06-11 20:04:00,Ana,Mortgage,98400.00,Online,East,Approved
L0026,Sign contract,2025-06-14 04:13:00,Chen,Mortgage,98400.00,Online,East,Approved
L0027,Submit application,2025-06-18 16:00:00,Portal,Business,32500.00,Online,East,Rejected
L0027,Check completeness,2025-06-18 22:20:00,Ben,Business,32500.00,Online,East,Rejected
L0027,Reject application,2025-06-19 04:12:00,Ana,Business,32500.00,Online,East,Rejected
L0028,Submit application,2025-02-04 10:00:00,Portal,Auto,26700.00,Online,South,Approved
L0028,Check completeness,2025-02-04 21:34:00,Ana,Auto,26700.00,Online,South,Approved
L0028,Assess credit,2025-02-06 21:16:00,Farah,Auto,26700.00,Online,South,Approved
L0028,Approve application,2025-02-07 09:19:00,Farah,Auto,26700.00,Online,South,Approved
L0028,Send offer,2025-02-07 13:01:00,Chen,Auto,26700.00,Online,South,Approved
L0028,Sign contract,2025-02-10 00:53:00,Dana,Auto,26700.00,Online,South,Approved
L0029,Submit application,2025-03-30 15:00:00,Dana,Auto,39300.00,Branch,North,Approved
L0029,Check completeness,2025-03-31 13:28:00,Chen,Auto,39300.00,Branch,North,Approved
L0029,Request documents,2025-03-31 15:12:00,Chen,Auto,39300.00,Branch,North,Approved
L0029,Receive documents,2025-04-01 18:46:00,Ana,Auto,39300.00,Branch,North,Approved
L0029,Assess credit,2025-04-03 10:02:00,Eli,Auto,39300.00,Branch,North,Approved
L0029,Approve application,2025-04-04 04:33:00,Eli,Auto,39300.00,Branch,North,Approved
L0029,Send offer,2025-04-04 05:51:00,Chen,Auto,39300.00,Branch,North,Approved
L0029,Sign contract,2025-04-08 09:36:00,Ben,Auto,39300.00,Branch,North,Approved
L0030,Submit application,2025-03-04 16:00:00,Portal,Auto,18500.00,Online,South,Rejected
L0030,Check completeness,2025-03-05 13:59:00,Dana,Auto,18500.00,Online,South,Rejected
L0030,Request documents,2025-03-05 15:55:00,Chen,Auto,18500.00,Online,South,Rejected
L0030,Receive documents,2025-03-14 03:36:00,Dana,Auto,18500.00,Online,South,Rejected
L0030,Assess credit,2025-03-15 02:05:00,Farah,Auto,18500.00,Online,South,Rejected
L0030,Reject application,2025-03-16 04:41:00,Farah,Auto,18500.00,Online,South,Rejected
L0031,Submit application,2025-06-14 13:00:00,Chen,Auto,11100.00,Branch,South,Approved
L0031,Check completeness,2025-06-15 07:07:00,Dana,Auto,11100.00,Branch,South,Approved
L0031,Assess credit,2025-06-17 05:44:00,Eli,Auto,11100.00,Branch,South,Approved
L0031,Approve application,2025-06-17 15:16:00,Farah,Auto,11100.00,Branch,South,Approved
L0031,Send offer,2025-06-17 22:18:00,Ben,Auto,11100.00,Branch,South,Approved
L0031,Sign contract,2025-06-23 01:22:00,Chen,Auto,11100.00,Branch,South,Approved
L0032,Submit application,2025-01-30 09:00:00,Portal,Personal,3400.00,Online,West,Rejected
L0032,Check completeness,2025-01-30 22:53:00,Ana,Personal,3400.00,Online,West,Rejected
L0032,Request documents,2025-01-31 01:28:00,Ana,Personal,3400.00,Online,West,Rejected
L0032,Receive documents,2025-02-06 00:07:00,Chen,Personal,3400.00,Online,West,Rejected
L0032,Request documents,2025-02-06 02:11:00,Ana,Personal,3400.00,Online,West,Rejected
L0032,Receive documents,2025-02-11 04:28:00,Dana,Personal,3400.00,Online,West,Rejected
L0032,Request documents,2025-02-11 10:03:00,Chen,Personal,3400.00,Online,West,Rejected
L0032,Receive documents,2025-02-15 16:35:00,Chen,Personal,3400.00,Online,West,Rejected
L0032,Assess credit,2025-02-17 15:53:00,Farah,Personal,3400.00,Online,West,Rejected
L0032,Reject application,2025-02-18 14:20:00,Eli,Personal,3400.00,Online,West,Rejected
L0033,Submit application,2025-03-30 13:00:00,Portal,Business,51900.00,Online,South,Approved
L0033,Check completeness,2025-03-31 02:56:00,Dana,Business,51900.00,Online,South,Approved
L0033,Request documents,2025-03-31 04:21:00,Ana,Business,51900.00,Online,South,Approved
L0033,Receive documents,2025-04-03 10:45:00,Dana,Business,51900.00,Online,South,Approved
L0033,Assess credit,2025-04-04 21:01:00,Eli,Business,51900.00,Online,South,Approved
L0033,Manual review,2025-04-07 09:07:00,Gil,Business,51900.00,Online,South,Approved
L0033,Approve application,2025-04-07 17:21:00,Eli,Business,51900.00,Online,South,Approved
L0033,Send offer,2025-04-07 22:21:00,Chen,Business,51900.00,Online,South,Approved
L0033,Sign contract,2025-04-14 05:05:00,Chen,Business,51900.00,Online,South,Approved
L0034,Submit application,2025-01-15 10:00:00,Chen,Mortgage,135000.00,Branch,North,Approved
L0034,Check completeness,2025-01-15 18:44:00,Ben,Mortgage,135000.00,Branch,North,Approved
L0034,Assess credit,2025-01-16 12:17:00,Eli,Mortgage,135000.00,Branch,North,Approved
L0034,Manual review,2025-01-19 01:52:00,Gil,Mortgage,135000.00,Branch,North,Approved
L0034,Approve application,2025-01-19 20:56:00,Farah,Mortgage,135000.00,Branch,North,Approved
L0034,Send offer,2025-01-20 01:03:00,Chen,Mortgage,135000.00,Branch,North,Approved
L0034,Sign contract,2025-01-22 13:16:00,Ben,Mortgage,135000.00,Branch,North,Approved
L0035,Submit application,2025-03-14 10:00:00,Chen,Mortgage,146000.00,Branch,North,Approved
L0035,Check completeness,2025-03-14 12:59:00,Ben,Mortgage,146000.00,Branch,North,Approved
L0035,Assess credit,2025-03-16 08:58:00,Farah,Mortgage,146000.00,Branch,North,Approved
L0035,Manual review,2025-03-17 21:44:00,Gil,Mortgage,146000.00,Branch,North,Approved
L0035,Approve application,2025-03-18 05:49:00,Farah,Mortgage,146000.00,Branch,North,Approved
L0035,Send offer,2025-03-18 13:16:00,Ana,Mortgage,146000.00,Branch,North,Approved
L0035,Sign contract,2025-03-25 08:47:00,Ben,Mortgage,146000.00,Branch,North,Approved
L0036,Submit application,2025-04-15 14:00:00,Chen,Mortgage,85400.00,Broker,South,Rejected
L0036,Check completeness,2025-04-16 13:34:00,Ana,Mortgage,85400.00,Broker,South,Rejected
L0036,Request documents,2025-04-16 19:28:00,Ana,Mortgage,85400.00,Broker,South,Rejected
L0036,Receive documents,2025-04-19 21:26:00,Chen,Mortgage,85400.00,Broker,South,Rejected
L0036,Assess credit,2025-04-21 14:52:00,Eli,Mortgage,85400.00,Broker,South,Rejected
L0036,Manual review,2025-04-23 03:53:00,Gil,Mortgage,85400.00,Broker,South,Rejected
L0036,Reject application,2025-04-24 01:21:00,Farah,Mortgage,85400.00,Broker,South,Rejected
L0037,Submit application,2025-04-02 13:00:00,Ben,Business,45800.00,Branch,North,Approved
L0037,Check completeness,2025-04-03 06:38:00,Chen,Business,45800.00,Branch,North,Approved
L0037,Assess credit,2025-04-03 23:07:00,Farah,Business,45800.00,Branch,North,Approved
L0037,Approve application,2025-04-04 15:38:00,Eli,Business,45800.00,Branch,North,Approved
L0037,Send offer,2025-04-04 21:25:00,Dana,Business,45800.00,Branch,North,Approved
L0037,Sign contract,2025-04-07 09:47:00,Ana,Business,45800.00,Branch,North,Approved
L0038,Submit application,2025-03-31 11:00:00,Portal,Business,46300.00,Online,East,Approved
L0038,Check completeness,2025-04-01 08:07:00,Ben,Business,46300.00,Online,East,Approved
L0038,Assess credit,2025-04-02 09:23:00,Farah,Business,46300.00,Online,East,Approved
L0038,Approve application,2025-04-03 00:34:00,Farah,Business,46300.00,Online,East,Approved
L0038,Send offer,2025-04-03 06:23:00,Chen,Business,46300.00,Online,East,Approved
L0038,Sign contract,2025-04-04 07:48:00,Ben,Business,46300.00,Online,East,Approved
L0039,Submit application,2025-05-20 12:00:00,Ana,Auto,13200.00,Broker,North,Rejected
L0039,Check completeness,2025-05-21 07:23:00,Dana,Auto,13200.00,Broker,North,Rejected
L0039,Request documents,2025-05-21 10:19:00,Chen,Auto,13200.00,Broker,North,Rejected
L0039,Receive documents,2025-05-28 09:11:00,Ben,Auto,13200.00,Broker,North,Rejected
L0039,Assess credit,2025-05-29 23:11:00,Eli,Auto,13200.00,Broker,North,Rejected
L0039,Reject application,2025-05-31 13:09:00,Eli,Auto,13200.00,Broker,North,Rejected
L0040,Submit application,2025-01-27 10:00:00,Chen,Auto,8300.00,Broker,North,Approved
L0040,Check completeness,2025-01-28 04:31:00,Chen,Auto,8300.00,Broker,North,Approved
L0040,Request documents,2025-01-28 08:24:00,Ana,Auto,8300.00,Broker,North,Approved
L0040,Receive documents,2025-01-30 15:12:00,Chen,Auto,8300.00,Broker,North,Approved
L0040,Assess credit,2025-01-31 19:55:00,Farah,Auto,8300.00,Broker,North,Approved
L0040,Approve application,2025-02-01 16:40:00,Eli,Auto,8300.00,Broker,North,Approved
L0040,Send offer,2025-02-01 18:12:00,Ana,Auto,8300.00,Broker,North,Approved
L0040,Sign contract,2025-02-04 06:32:00,Ben,Auto,8300.00,Broker,North,Approved
L0041,Submit application,2025-04-01 12:00:00,Ana,Mortgage,325000.00,Branch,North,Approved
L0041,Check completeness,2025-04-02 06:04:00,Ana,Mortgage,325000.00,Branch,North,Approved
L0041,Assess credit,2025-04-02 12:28:00,Eli,Mortgage,325000.00,Branch,North,Approved
L0041,Manual review,2025-04-04 07:19:00,Gil,Mortgage,325000.00,Branch,North,Approved
L0041,Approve application,2025-04-05 00:34:00,Farah,Mortgage,325000.00,Branch,North,Approved
L0041,Send offer,2025-04-05 01:54:00,Dana,Mortgage,325000.00,Branch,North,Approved
L0041,Sign contract,2025-04-10 01:16:00,Ben,Mortgage,325000.00,Branch,North,Approved
L0042,Submit application,2025-05-19 09:00:00,Chen,Personal,17800.00,Broker,West,Rejected
L0042,Check completeness,2025-05-19 19:33:00,Ben,Personal,17800.00,Broker,West,Rejected
L0042,Reject application,2025-05-20 00:36:00,Ben,Personal,17800.00,Broker,West,Rejected
L0043,Submit application,2025-01-10 12:00:00,Portal,Mortgage,131100.00,Online,West,Approved
L0043,Check completeness,2025-01-10 17:31:00,Chen,Mortgage,131100.00,Online,West,Approved
L0043,Assess credit,2025-01-12 13:08:00,Farah,Mortgage,131100.00,Online,West,Approved
L0043,Manual review,2025-01-15 00:33:00,Gil,Mortgage,131100.00,Online,West,Approved
L0043,Approve application,2025-01-15 16:29:00,Farah,Mortgage,131100.00,Online,West,Approved
L0043,Send offer,2025-01-15 23:54:00,Dana,Mortgage,131100.00,Online,West,Approved
L0043,Sign contract,2025-01-21 12:55:00,Ben,Mortgage,131100.00,Online,West,Approved
L0044,Submit application,2025-04-06 10:00:00,Portal,Mortgage,308200.00,Online,North,Rejected
L0044,Check completeness,2025-04-06 18:28:00,Ana,Mortgage,308200.00,Online,North,Rejected
L0044,Assess credit,2025-04-07 11:16:00,Farah,Mortgage,308200.00,Online,North,Rejected
L0044,Manual review,2025-04-10 08:05:00,Gil,Mortgage,308200.00,Online,North,Rejected
L0044,Reject application,2025-04-12 07:46:00,Eli,Mortgage,308200.00,Online,North,Rejected
L0045,Submit application,2025-02-07 14:00:00,Dana,Auto,10600.00,Branch,South,Approved
L0045,Check completeness,2025-02-07 23:48:00,Ana,Auto,10600.00,Branch,South,Approved
L0045,Assess credit,2025-02-08 19:59:00,Farah,Auto,10600.00,Branch,South,Approved
L0045,Approve application,2025-02-09 19:36:00,Farah,Auto,10600.00,Branch,South,Approved
L0045,Send offer,2025-02-09 23:33:00,Ana,Auto,10600.00,Branch,South,Approved
L0045,Sign contract,2025-02-13 20:47:00,Dana,Auto,10600.00,Branch,South,Approved
L0046,Submit application,2025-02-27 11:00:00,Portal,Auto,34600.00,Online,West,Approved
L0046,Check completeness,2025-02-27 21:26:00,Dana,Auto,34600.00,Online,West,Approved
L0046,Assess credit,2025-02-28 19:22:00,Eli,Auto,34600.00,Online,West,Approved
L0046,Approve application,2025-03-01 02:20:00,Farah,Auto,34600.00,Online,West,Approved
L0046,Send offer,2025-03-01 08:18:00,Dana,Auto,34600.00,Online,West,Approved
L0046,Sign contract,2025-03-05 17:14:00,Dana,Auto,34600.00,Online,West,Approved
L0047,Submit application,2025-02-02 14:00:00,Portal,Personal,8900.00,Online,West,Rejected
L0047,Check completeness,2025-02-02 17:54:00,Chen,Personal,8900.00,Online,West,Rejected
L0047,Reject application,2025-02-02 22:49:00,Chen,Personal,8900.00,Online,West,Rejected
L0048,Submit application,2025-05-24 13:00:00,Portal,Personal,18300.00,Online,South,Rejected
